W1Mag,W1Err,W2Mag,W2Err,MJD
11.72,0.02,11.77,0.04,58071.78527
11.69,0.02,11.75,0.03,58071.85073
11.66,0.02,11.77,0.03,58071.91618
11.67,0.02,11.73,0.03,58071.98163
11.64,0.02,11.76,0.03,58072.04708
11.70,0.02,11.75,0.03,58072.11253
11.67,0.02,11.76,0.03,58072.17799
11.74,0.02,11.84,0.03,58072.24344
11.64,0.02,11.78,0.04,58072.30889
11.69,0.02,11.74,0.03,58072.37434
11.78,0.02,11.87,0.04,58072.43979
11.74,0.02,11.84,0.04,58072.50524
11.64,0.02,11.80,0.04,58072.50537
11.64,0.02,11.71,0.03,58072.57082
11.67,0.02,11.66,0.03,58072.63627
11.66,0.02,11.81,0.04,58072.76718
11.64,0.02,11.71,0.03,58072.89808
11.73,0.02,11.81,0.03,58073.02899
11.32,0.02,10.98,0.02,58226.39858
11.33,0.02,10.97,0.03,58226.52948
11.35,0.02,10.98,0.02,58226.66039
11.31,0.02,11.01,0.02,58226.72584
11.30,0.02,10.97,0.02,58226.79129
11.30,0.02,10.93,0.02,58226.85674
11.15,0.02,9.52,0.01,58226.92207
11.25,0.02,11.03,0.02,58226.98752
11.35,0.02,11.00,0.02,58227.05297
11.34,0.02,10.95,0.02,58227.24933
11.32,0.02,10.97,0.02,58227.31478
11.32,0.02,10.99,0.03,58227.38023
11.27,0.02,10.93,0.02,58227.51113
11.33,0.02,11.04,0.03,58227.64204
11.33,0.02,10.97,0.02,58227.77281
11.34,0.02,10.94,0.03,58227.77294
11.32,0.02,10.91,0.02,58227.90372
11.30,0.02,10.98,0.02,58232.6151
11.24,0.02,10.87,0.02,58435.78584
11.25,0.02,10.91,0.03,58435.91674
11.22,0.02,10.91,0.02,58436.04765
11.25,0.02,10.87,0.02,58436.11259
11.24,0.02,10.88,0.03,58436.17804
11.22,0.02,10.88,0.02,58436.244
11.27,0.02,10.92,0.02,58436.30933
11.26,0.02,10.95,0.02,58436.37478
11.18,0.02,10.92,0.02,58436.44023
11.23,0.02,10.90,0.02,58436.50517
11.28,0.02,10.86,0.02,58436.57063
11.23,0.02,10.96,0.02,58436.63659
11.23,0.02,10.87,0.03,58436.70204
11.23,0.02,10.89,0.02,58436.76749
11.23,0.02,10.91,0.03,58436.83281
11.35,0.02,11.07,0.02,58436.89827
11.20,0.02,10.91,0.02,58437.02917
11.21,0.02,10.83,0.03,58437.15956
11.20,0.02,10.90,0.02,58437.29098
11.24,0.02,10.96,0.02,58593.34864
11.23,0.02,10.96,0.02,58593.61032
11.24,0.02,10.45,0.02,58593.7411
11.30,0.02,10.90,0.03,58593.80655
11.24,0.02,10.94,0.02,58593.872
11.23,0.02,10.94,0.02,58593.93732
11.24,0.02,10.92,0.03,58594.00278
11.24,0.02,10.93,0.02,58594.13368
11.35,0.02,10.99,0.02,58594.199
11.27,0.02,10.97,0.02,58594.26445
11.32,0.02,10.89,0.03,58594.32991
11.30,0.02,10.92,0.02,58594.39523
11.33,0.02,10.89,0.02,58594.39536
11.26,0.02,10.94,0.02,58594.59159
11.27,0.02,10.94,0.02,58594.72236
11.31,0.02,10.98,0.02,58594.85327
11.24,0.02,10.90,0.02,58800.04721
11.19,0.02,10.85,0.03,58800.04733
11.22,0.02,10.89,0.02,58800.17811
11.20,0.02,10.90,0.02,58800.30889
11.20,0.02,10.89,0.02,58800.37434
11.24,0.02,10.95,0.02,58800.43979
11.20,0.02,10.89,0.02,58800.50511
11.24,0.02,10.92,0.02,58800.50524
11.22,0.02,10.93,0.02,58800.57057
11.23,0.02,10.88,0.02,58800.63602
11.19,0.02,10.93,0.02,58800.70147
11.24,0.02,10.93,0.03,58800.76679
11.21,0.02,10.92,0.02,58800.83225
11.24,0.02,10.81,0.03,58800.8977
11.24,0.02,10.91,0.02,58800.96302
11.24,0.02,10.95,0.02,58801.02847
11.20,0.02,10.92,0.02,58801.09392
11.19,0.02,10.90,0.03,58801.15938
11.24,0.02,10.91,0.02,58801.29015
11.26,0.02,11.02,0.02,58801.42093
11.22,0.02,10.96,0.02,58801.55183
11.27,0.02,10.92,0.02,58806.91633
11.23,0.02,10.90,0.02,58957.68988
11.27,0.02,10.93,0.03,58957.82066
