MJD           m       dm    uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58401.648633  13.565  0.008 13613  109 c  0   1.74 123.84708 -38.98981  2003.96  3600.23 2.60 2.59 -46.4 -0.423 17.02 17.58 02a58401o0970c
58413.645195  13.295  0.003 17451   47 o  0 199.88 123.84708 -38.98981   872.11  3756.68 2.23 2.01  46.7 -0.441 18.86 19.54 02a58413o0945o
58413.653887  13.304  0.004 17314   74 o  0  17.57 123.84708 -38.98981   885.16  3794.84 2.23 2.05  46.7 -0.423 17.40 17.22 02a58413o0964o
58437.648920  13.475  0.034 14797  496 o  0   1.64 123.84708 -38.98981  7387.64  6485.60 2.67 2.57  57.4 -0.495 17.58 18.99 02a58437o0853o
58437.655784   1.473  3.939 -14099267548 55531325691 o  0   1.08 123.84708 -38.98981  7693.28  8058.42 2.71 2.57  76.4 -0.416 -3.89 -3.46 02a58437o0868o
58441.659998  13.266  0.003 17933   53 o  0  38.87 123.84708 -38.98981  6907.49  7147.72 2.53 2.42 -78.9 -0.414 18.35 18.73 02a58441o1029o
58443.613572  13.295  0.003 17451   50 o  0  32.70 123.84708 -38.98981  2809.40  3189.41 2.99 2.93  16.7 -0.454 18.51 19.66 01a58443o0933o
58443.630526  13.276  0.003 17767   48 o  0  35.58 123.84708 -38.98981  2837.94  3294.94 3.21 3.12  32.4 -0.436 18.71 19.99 01a58443o0969o
58443.647914  13.267  0.003 17918   49 o  0  16.16 123.84708 -38.98981  2789.68  3286.95 3.83 3.79 -74.3 -0.418 18.45 19.94 01a58443o1006o
58443.651597  13.289  0.003 17548   54 o  0  15.08 123.84708 -38.98981  2777.41  3418.22 3.43 3.32  59.7 -0.433 18.31 19.46 01a58443o1014o
58447.650531  13.310  0.004 17212   61 o  0   6.55 123.84708 -38.98981  2989.21  3585.69 3.42 3.38  54.2 -0.419 17.97 18.95 01a58447o0989o
58447.660791   4.547  0.468 -239210371813 112045869381 o  0   1.47 123.84708 -38.98981  3019.12  3674.94 3.50 3.50   0.0 -0.136 -6.01 -5.42 01a58447o1011o
58449.645874  13.287  0.003 17580   49 o  0  77.85 123.84708 -38.98981  8627.59  6465.34 2.59 2.43 -75.7 -0.398 18.83 19.58 02a58449o1011o
58449.656119  13.289  0.003 17562   54 o  0  32.35 123.84708 -38.98981  8598.02  6428.79 2.74 2.59 -76.7 -0.402 18.46 19.14 02a58449o1033o
58451.640338  13.285  0.003 17625   45 o  0  48.37 123.84708 -38.98981  2858.13  4581.43 3.06 3.02 -31.8 -0.437 18.92 20.39 01a58451o0990o
58451.650592  13.295  0.003 17453   50 o  0  34.04 123.84708 -38.98981  2890.38  4660.11 3.35 3.25 -24.0 -0.414 18.57 19.91 01a58451o1012o
58451.660390  13.319  0.007 17084  112 o  0   1.83 123.84708 -38.98981  2830.87  4623.26 3.79 3.46  80.6 -0.428 16.89 17.60 01a58451o1033o
58453.648750  13.265  0.002 17947   45 o  0 294.34 123.84708 -38.98981  2358.86  4032.60 2.09 2.01  78.1 -0.438 19.25 20.21 02a58453o0607o
58453.659418  13.272  0.003 17826   51 o  0 149.77 123.84708 -38.98981  2420.08  4112.49 2.08 1.98  82.9 -0.454 18.74 19.24 02a58453o0630o
58455.540898  13.286  0.003 17604   45 o  0  72.04 123.84708 -38.98981  1287.66  7318.57 3.47 2.92 -87.1 -0.438 19.01 20.81 01a58455o0751o
58455.553886  13.271  0.002 17853   44 o  0  86.29 123.84708 -38.98981  1262.82  7231.33 3.53 2.88 -87.0 -0.435 19.02 20.88 01a58455o0775o
58455.561533  13.284  0.003 17637   44 o  0  87.13 123.84708 -38.98981  1318.74  7281.46 3.34 2.77  89.6 -0.451 19.06 20.92 01a58455o0790o
58455.567017  13.297  0.003 17418   44 o  0 156.47 123.84708 -38.98981  1332.32  7144.39 3.02 2.62 -89.8 -0.473 19.10 20.85 01a58455o0801o
58459.524593  13.293  0.003 17488   46 o  0  32.62 123.84708 -38.98981  8396.50  3464.16 3.64 3.22  85.5 -0.401 18.98 20.68 01a58459o0738o
58459.525976  13.299  0.003 17389   44 o  0  39.65 123.84708 -38.98981  8378.74  3420.61 3.81 3.10  89.9 -0.400 18.99 20.68 01a58459o0741o
58459.537498  13.295  0.003 17451   46 o  0  31.48 123.84708 -38.98981  8412.34  3456.52 4.07 3.47  86.5 -0.390 18.91 20.76 01a58459o0766o
58459.545340  13.281  0.003 17680   46 o  0  36.72 123.84708 -38.98981  8434.72  3310.39 3.87 3.19  85.7 -0.402 19.03 20.86 01a58459o0783o
58463.505409  13.305  0.021 17298  371 o  0   1.24 123.84708 -38.98981  3557.35  7402.62 4.11 4.02 -86.7 -0.347 15.64 17.62 01a58463o0591o
58463.516467  13.305  0.017 17297  298 o  0   1.57 123.84708 -38.98981  3514.79  7323.26 3.98 3.92 -46.7 -0.397 15.97 17.87 01a58463o0615o
58463.528435  13.308  0.021 17245  359 o  0   1.21 123.84708 -38.98981  3565.23  7358.73 4.12 3.62 -83.3 -0.396 15.67 17.65 01a58463o0641o
58463.538106  13.269  0.034 17886  601 o  0   1.16 123.84708 -38.98981  3588.22  7206.28 3.94 3.64 -88.2 -0.395 14.99 16.90 01a58463o0662o
58465.531794  13.292  0.003 17512   44 o  0 371.47 123.84708 -38.98981  4186.36  7177.56 2.27 2.04 -40.2 -0.442 19.48 20.95 02a58465o0750o
58465.540418  13.268  0.002 17898   45 o  0 634.91 123.84708 -38.98981  4208.12  7212.99 2.09 2.00  -3.3 -0.475 19.47 20.98 02a58465o0768o
58465.547283  13.278  0.003 17741   47 o  0 190.85 123.84708 -38.98981  4162.27  7133.85 2.16 2.01 -10.0 -0.468 19.42 20.93 02a58465o0783o
58465.555455  13.283  0.003 17649   49 o  0 234.06 123.84708 -38.98981  4122.86  7252.89 2.39 2.02 -29.2 -0.432 19.33 20.94 02a58465o0800o
58467.530681  13.272  0.003 17827   45 o  0  32.51 123.84708 -38.98981  4538.86  3405.51 3.48 3.18 -88.6 -0.415 19.02 20.95 01a58467o0747o
58467.541022  13.290  0.002 17541   43 o  0  64.89 123.84708 -38.98981  6194.41  6950.19 3.42 2.97 -84.6 -0.415 19.14 20.91 01a58467o0769o
58467.543323  13.291  0.002 17528   44 o  0  54.03 123.84708 -38.98981  6137.43  6880.51 3.41 3.00 -87.2 -0.410 19.07 20.89 01a58467o0774o
58467.550882  13.275  0.003 17775   45 o  0  20.62 123.84708 -38.98981  4593.38  3250.98 4.12 3.79 -78.2 -0.381 18.79 20.84 01a58467o0790o
58469.563008  13.285  0.003 17623   48 o  0 378.77 123.84708 -38.98981  5367.44  7238.25 2.28 2.24 -34.6 -0.450 19.20 20.64 02a58469o0820o
58469.573833  13.272  0.003 17835   47 o  0 292.99 123.84708 -38.98981  5352.83  7200.67 2.60 2.37 -55.5 -0.418 19.20 20.57 02a58469o0843o
58469.581822  13.286  0.003 17601   48 o  0 216.61 123.84708 -38.98981  5411.81  7278.83 2.66 2.40 -56.0 -0.412 19.20 20.60 02a58469o0860o
58469.587309  13.266  0.003 17934   46 o  0 273.60 123.84708 -38.98981  5429.43  7163.25 2.50 2.31 -57.7 -0.423 19.19 20.59 02a58469o0872o
58471.539355  13.326  0.003 16974   53 o  0   8.79 123.84708 -38.98981  9782.26  8941.54 6.07 4.41 -79.8 -0.265 18.54 20.10 01a58471o0696o
58471.544892  13.287  0.003 17595   55 o  0   6.45 123.84708 -38.98981  9802.42  9002.94 5.76 4.26 -81.0 -0.304 18.54 20.14 01a58471o0708o
58471.554107  13.269  0.003 17885   50 o  0  15.55 123.84708 -38.98981   548.85  9091.53 4.22 3.72 -85.0 -0.365 18.65 20.22 01a58471o0728o
58471.556876  13.313  0.003 17175   51 o  0   8.86 123.84708 -38.98981  9762.11  8972.04 6.17 4.56 -80.3 -0.260 18.55 20.17 01a58471o0734o
58471.561941  13.276  0.003 17770   51 o  0  14.20 123.84708 -38.98981   571.23  9159.60 4.06 3.41  84.5 -0.405 18.64 20.30 01a58471o0745o
58471.565167  13.290  0.003 17543   50 o  0  10.95 123.84708 -38.98981  9736.99  9120.73 5.47 3.91 -84.8 -0.331 18.70 20.34 01a58471o0752o
58471.571654  13.272  0.003 17826   47 o  0  37.71 123.84708 -38.98981   529.14  9123.62 3.77 3.39 -84.9 -0.401 18.88 20.56 01a58471o0766o
58471.585922  13.259  0.003 18054   47 o  0  30.39 123.84708 -38.98981   503.58  9299.33 4.10 3.36 -89.9 -0.419 19.08 21.21 01a58471o0797o
58473.535910  13.296  0.005 17438   80 o  0  14.38 123.84708 -38.98981   968.76  9107.04 2.51 2.43  -4.1 -0.470 18.10 18.98 02a58473o0756o
58473.544263  13.284  0.004 17642   78 o  0  16.31 123.84708 -38.98981   954.50  9068.15 2.74 2.63 -17.9 -0.457 18.05 19.03 02a58473o0774o
58473.552963  13.272  0.030 17828  536 o  0   1.76 123.84708 -38.98981  1016.84  9149.22 2.90 2.64  19.4 -0.514 16.76 17.29 02a58473o0793o
58473.561206  13.281  0.012 17680  214 o  0   2.09 123.84708 -38.98981  1034.08  9032.02 2.83 2.63   3.0 -0.453 16.24 17.00 02a58473o0811o
58475.518453  13.309  0.005 17233   84 o  0   2.99 123.84708 -38.98981  4315.42  8868.27 3.76 3.27 -82.1 -0.412 18.14 19.06 01a58475o0716o
58475.526183  13.303  0.005 17337   84 o  0   3.41 123.84708 -38.98981  4352.61  8936.72 3.89 3.37 -84.0 -0.399 18.04 19.06 01a58475o0732o
58475.537488  13.287  0.005 17589   85 o  0   3.09 123.84708 -38.98981  4302.40  8905.69 3.79 3.39 -80.8 -0.402 18.04 19.06 01a58475o0755o
58475.541168  13.308  0.005 17255   80 o  0   3.66 123.84708 -38.98981  4289.20  9035.87 3.78 3.46 -78.8 -0.407 18.04 19.05 01a58475o0763o
58479.493350  13.276  0.003 17761   48 o  0  37.59 123.84708 -38.98981  4220.52  5355.26 3.32 2.85  85.6 -0.436 18.71 19.92 01a58479o0632o
58479.503673  13.288  0.003 17574   48 o  0  36.09 123.84708 -38.98981  6529.23  4999.40 3.61 2.91 -89.5 -0.405 18.73 20.01 01a58479o0654o
58479.515587  13.296  0.003 17450   48 o  0  36.80 123.84708 -38.98981  6477.91  4969.15 3.65 2.92  89.3 -0.405 18.74 20.04 01a58479o0679o
58479.526994  13.292  0.003 17512   46 o  0  44.82 123.84708 -38.98981  6471.48  5129.81 3.51 3.09 -88.8 -0.403 18.76 20.07 01a58479o0703o
58483.529986   1.652  0.631 -16633921500 10495212375 o  0   1.41 123.84708 -38.98981  5935.35  1198.17 3.68 3.01   7.9 -0.424 -2.96 -1.09 01a58483o0266o
58483.538759  -4.685  0.052 271622742533 14171621350 o  0   1.02 123.84708 -38.98981  5944.07  1300.75 3.47 3.23   0.1 -0.403 -3.16 -1.36 01a58483o0285o
58483.547534  13.270  0.004 17866   63 o  0  20.59 123.84708 -38.98981  5885.33  1258.25 3.33 3.23 -15.4 -0.416 18.18 19.98 01a58483o0304o
58483.556301  13.292  0.003 17501   59 o  0  39.53 123.84708 -38.98981  5871.70  1410.10 3.18 3.06  84.6 -0.424 18.39 20.12 01a58483o0323o
58485.531998  13.532  0.003 14034   41 c  0 131.96 123.84708 -38.98981  7335.78  7228.67 2.80 2.71  85.5 -0.414 19.33 21.56 02a58485o0732c
58485.542624  13.560  0.003 13678   39 c  0 149.51 123.84708 -38.98981  7319.54  7188.94 2.82 2.68 -86.2 -0.393 19.42 21.58 02a58485o0754c
58485.553051  13.555  0.003 13747   40 c  0 150.68 123.84708 -38.98981  7365.16  7269.95 2.88 2.72 -74.9 -0.390 19.38 21.59 02a58485o0776c
58485.563037  13.545  0.003 13870   40 c  0  93.50 123.84708 -38.98981  7398.62  7153.60 2.80 2.64 -79.2 -0.393 19.40 21.55 02a58485o0797c
58487.521323  13.273  0.002 17814   44 o  0  61.16 123.84708 -38.98981  1922.23  1304.41 3.10 2.94  -7.9 -0.432 19.12 20.90 01a58487o0711o
58487.531035  13.273  0.003 17820   46 o  0  33.04 123.84708 -38.98981  1942.60  1381.74 3.55 3.31 -20.2 -0.421 19.02 20.90 01a58487o0732o
58487.540734  13.281  0.003 17690   45 o  0  41.46 123.84708 -38.98981  1883.42  1343.76 3.52 3.15  -8.7 -0.412 19.11 21.00 01a58487o0753o
58487.550419  13.275  0.002 17779   44 o  0  54.43 123.84708 -38.98981  1870.52  1500.19 3.24 3.00  -2.2 -0.426 19.13 20.97 01a58487o0774o
58489.521150  13.543  0.003 13896   43 c  0  52.34 123.84708 -38.98981  2684.18  9146.20 3.11 3.04 -70.4 -0.373 19.08 21.38 02a58489o0320c
58489.531324  13.555  0.003 13744   41 c  0 226.88 123.84708 -38.98981  2672.53  9109.22 2.79 2.75 -45.4 -0.398 19.19 21.39 02a58489o0341c
58489.541054  13.539  0.003 13943   42 c  0 134.37 123.84708 -38.98981  2734.63  9187.92 3.06 2.99 -62.7 -0.393 19.12 21.41 02a58489o0362c
58489.550255  13.528  0.003 14089   44 c  0  96.80 123.84708 -38.98981  2751.96  9071.25 3.15 3.01 -74.3 -0.397 19.10 21.37 02a58489o0382c
58491.468662  13.250  0.003 18202   46 o  0  81.37 123.84708 -38.98981 10407.21  5010.16 4.61 3.30 -85.0 -0.425 19.14 21.22 01a58491o0598o
58491.477873  13.275  0.003 17779   48 o  0  26.63 123.84708 -38.98981  1027.79  5098.34 3.37 3.20  83.4 -0.437 19.15 21.20 01a58491o0618o
58491.481032  13.253  0.003 18144   47 o  0  38.64 123.84708 -38.98981 10371.53  5019.16 4.82 3.47 -84.7 -0.405 19.07 21.19 01a58491o0624o
58491.483337  13.239  0.003 18390   46 o  0  92.33 123.84708 -38.98981 10436.58  5107.96 4.34 3.18 -86.6 -0.436 19.13 21.20 01a58491o0629o
58491.488862  13.260  0.002 18025   45 o  0  52.99 123.84708 -38.98981  1055.61  5179.86 3.31 3.12  68.6 -0.447 19.14 21.21 01a58491o0641o
58491.492544  13.240  0.003 18364   46 o  0  80.33 123.84708 -38.98981 10366.80  5180.40 4.27 3.30 -86.4 -0.431 19.07 21.20 01a58491o0649o
58491.499368  13.263  0.002 17982   44 o  0  66.90 123.84708 -38.98981  1017.24  5145.68 3.28 3.00  81.2 -0.449 19.21 21.27 01a58491o0663o
58491.512147  13.274  0.002 17805   44 o  0  53.35 123.84708 -38.98981   991.97  5314.63 3.39 3.21  79.5 -0.439 19.13 21.30 01a58491o0689o
58493.468408  13.556  0.004 13731   48 c  0  78.18 123.84708 -38.98981  5715.19  5302.45 2.86 2.79  68.6 -0.401 19.01 21.22 02a58493o0590c
58493.478466  13.544  0.003 13878   44 c  0 115.25 123.84708 -38.98981  5686.15  5264.34 2.73 2.69  43.7 -0.412 19.22 21.32 02a58493o0612c
58493.488890  13.554  0.003 13758   41 c  0  79.66 123.84708 -38.98981  5745.78  5338.88 2.89 2.82  71.7 -0.394 19.28 21.37 02a58493o0634c
58493.500779  13.547  0.003 13838   40 c  0 126.72 123.84708 -38.98981  5761.59  5224.10 3.06 2.88 -77.2 -0.384 19.24 21.32 02a58493o0660c
58495.491343  13.270  0.002 17866   44 o  0  67.08 123.84708 -38.98981  9199.42  3172.07 3.58 3.30 -83.0 -0.404 19.09 21.04 01a58495o0643o
58495.501064  13.269  0.002 17888   44 o  0  92.83 123.84708 -38.98981  9217.07  3250.37 3.83 3.16 -84.0 -0.419 19.07 21.08 01a58495o0664o
58495.510777  13.270  0.002 17867   44 o  0  61.88 123.84708 -38.98981  9157.81  3209.66 3.81 3.33 -82.3 -0.411 19.07 21.13 01a58495o0685o
58495.521192  13.261  0.002 18007   44 o  0  53.05 123.84708 -38.98981  9143.02  3368.49 3.85 3.26 -78.1 -0.422 19.08 21.11 01a58495o0707o
58497.463535  13.274  0.003 17792   46 o  0 524.87 123.84708 -38.98981  2545.43  3324.48 2.19 2.16  37.5 -0.430 19.23 20.55 02a58497o0584o
58497.472727  13.283  0.003 17654   46 o  0 448.31 123.84708 -38.98981  2531.92  3289.14 2.23 2.09  41.0 -0.435 19.26 20.62 02a58497o0604o
58497.482359  13.274  0.003 17792   46 o  0 329.54 123.84708 -38.98981  2591.11  3367.61 2.26 2.17  24.1 -0.420 19.27 20.60 02a58497o0625o
58497.493339  13.282  0.003 17668   47 o  0 399.28 123.84708 -38.98981  2608.51  3252.12 2.14 1.97  47.2 -0.452 19.31 20.58 02a58497o0649o
58499.444870  13.270  0.003 17864   49 o  0  23.53 123.84708 -38.98981  6817.83  9191.47 4.74 3.49 -87.4 -0.375 18.59 19.97 01a58499o0535o
58499.453306  13.276  0.003 17761   50 o  0  28.45 123.84708 -38.98981  6796.74  9120.38 3.96 3.09  89.4 -0.415 18.70 19.98 01a58499o0551o
58499.462211  13.271  0.003 17843   51 o  0  17.25 123.84708 -38.98981  6852.36  9164.92 4.08 3.17 -88.5 -0.410 18.66 19.99 01a58499o0568o
58499.471609  13.279  0.003 17723   50 o  0  21.77 123.84708 -38.98981  3852.27  1277.08 3.43 3.25  25.5 -0.428 18.63 20.05 01a58499o0585o
58501.446642  13.277  0.003 17747   53 o  0 211.79 123.84708 -38.98981  2548.92  1382.26 2.34 2.02  37.3 -0.526 18.72 19.28 02a58501o0384o
58501.453518  13.286  0.003 17611   50 o  0 210.86 123.84708 -38.98981  2533.63  1343.35 2.27 2.00  39.2 -0.511 18.77 19.30 02a58501o0399o
58501.460402  13.279  0.003 17724   53 o  0 206.23 123.84708 -38.98981  2594.83  1424.47 2.31 1.99  32.3 -0.509 18.76 19.28 02a58501o0414o
58501.467292  13.275  0.003 17789   56 o  0  93.04 123.84708 -38.98981  2609.57  1308.69 2.48 2.15  37.2 -0.495 18.71 19.27 02a58501o0429o
58503.446584  13.302  0.003 17338   60 o  0  11.01 123.84708 -38.98981  8446.61  5008.49 4.06 3.12 -86.6 -0.418 18.04 18.92 01a58503o0536o
58503.458559  13.292  0.004 17511   62 o  0   9.14 123.84708 -38.98981  8469.51  5094.63 4.22 3.09 -85.5 -0.420 18.07 18.92 01a58503o0562o
58503.469609  13.305  0.004 17295   64 o  0  10.16 123.84708 -38.98981  8428.75  5060.33 4.25 3.12 -85.5 -0.419 17.98 18.90 01a58503o0586o
58503.472836  13.313  0.003 17169   56 o  0  13.01 123.84708 -38.98981  8400.66  5190.02 4.28 3.21 -86.7 -0.400 17.99 18.90 01a58503o0593o
58507.420493  13.284  0.003 17643   54 o  0  20.80 123.84708 -38.98981  7743.53  5306.59 3.83 2.88 -87.4 -0.421 18.47 19.48 01a58507o0469o
58507.431715  13.289  0.003 17554   50 o  0  23.49 123.84708 -38.98981  7723.91  5229.72 3.43 2.96 -85.3 -0.423 18.48 19.51 01a58507o0492o
58507.433098  13.305  0.003 17290   53 o  0  22.24 123.84708 -38.98981  7783.26  5300.91 3.65 2.78 -86.5 -0.433 18.52 19.51 01a58507o0495o
58507.441337  13.294  0.003 17471   50 o  0  28.73 123.84708 -38.98981  7794.78  5150.95 3.49 2.83  89.7 -0.430 18.57 19.52 01a58507o0512o
58511.442231  13.280  0.002 17695   44 o  0  38.85 123.84708 -38.98981  2423.89  9213.93 4.18 3.44 -83.0 -0.374 19.13 21.27 01a58511o0216o
58511.449160  13.266  0.002 17925   44 o  0  37.76 123.84708 -38.98981  2440.08  9251.58 4.07 3.39 -82.8 -0.384 19.14 21.27 01a58511o0231o
58511.456087  13.272  0.003 17831   45 o  0  33.84 123.84708 -38.98981  2393.89  9174.08 4.22 3.49 -83.8 -0.373 19.09 21.24 01a58511o0246o
58511.462997  13.292  0.003 17502   45 o  0  21.87 123.84708 -38.98981  2364.95  9290.90 4.19 3.54 -82.5 -0.373 19.04 21.15 01a58511o0261o
58519.437648  13.282  0.002 17676   43 o  0 117.36 123.84708 -38.98981  5166.61  3319.83 3.31 2.96 -85.7 -0.423 19.01 20.81 01a58519o0508o
58519.446405  13.273  0.002 17820   44 o  0  81.66 123.84708 -38.98981  5182.62  3357.62 3.29 2.99 -86.6 -0.431 19.03 20.83 01a58519o0527o
58519.455660  13.282  0.002 17673   44 o  0  84.50 123.84708 -38.98981  5121.18  3280.78 3.34 3.03 -87.3 -0.422 19.02 20.85 01a58519o0547o
58519.468552  13.283  0.003 17647   45 o  0  62.44 123.84708 -38.98981  5108.04  3395.25 3.34 3.00 -89.5 -0.429 19.00 20.79 01a58519o0575o
58523.417534  13.247  0.003 18247   48 o  0  58.90 123.84708 -38.98981  9524.94  1362.29 4.39 3.18 -87.0 -0.431 18.81 20.57 01a58523o0321o
58523.426307  13.245  0.003 18280   48 o  0  87.73 123.84708 -38.98981  9540.54  1400.90 4.14 3.03 -86.9 -0.443 18.88 20.56 01a58523o0340o
58523.435092  13.263  0.003 17987   49 o  0  70.48 123.84708 -38.98981  9478.51  1321.80 4.19 3.05 -87.1 -0.446 18.86 20.54 01a58523o0359o
58523.437394  13.252  0.003 18167   48 o  0  54.45 123.84708 -38.98981  9464.15  1439.19 3.98 3.10 -87.9 -0.439 18.84 20.54 01a58523o0364o
58527.396970  13.293  0.003 17489   46 o  0  39.62 123.84708 -38.98981  9608.83  7192.28 5.32 3.72 -82.0 -0.321 18.87 20.43 01a58527o0390o
58527.405302  13.276  0.003 17773   48 o  0  26.04 123.84708 -38.98981  9640.50  7230.49 5.16 3.62 -82.0 -0.333 18.83 20.42 01a58527o0408o
58527.409904  13.281  0.003 17691   45 o  0  30.05 123.84708 -38.98981   396.52  7362.21 3.72 3.29 -86.5 -0.358 18.90 20.46 01a58527o0418o
58527.414053  13.274  0.003 17806   47 o  0  34.65 123.84708 -38.98981  9579.23  7149.60 4.84 3.41 -83.2 -0.358 18.89 20.42 01a58527o0427o
58527.418220  13.279  0.003 17725   47 o  0  11.90 123.84708 -38.98981   428.68  7397.80 4.12 3.61 -84.6 -0.332 18.83 20.46 01a58527o0436o
58527.422362  13.270  0.003 17859   48 o  0  28.71 123.84708 -38.98981  9566.42  7265.11 4.86 3.43 -82.1 -0.359 18.90 20.40 01a58527o0445o
58527.426970  13.280  0.003 17699   47 o  0  22.27 123.84708 -38.98981   366.79  7322.31 4.13 3.23 -89.5 -0.343 18.90 20.45 01a58527o0455o
58527.435270  13.288  0.003 17568   45 o  0  26.81 123.84708 -38.98981   338.16  7439.27 4.17 3.30  89.9 -0.340 18.85 20.48 01a58527o0473o
58531.403189  13.285  0.004 17621   76 o  0   3.69 123.84708 -38.98981  6209.54  9116.93 4.31 3.46 -82.6 -0.397 18.21 19.26 01a58531o0421o
58531.412431  13.281  0.004 17680   72 o  0   4.60 123.84708 -38.98981  6225.26  9155.38 4.70 3.71 -82.5 -0.370 18.17 19.23 01a58531o0441o
58531.421651  13.279  0.004 17719   75 o  0   4.12 123.84708 -38.98981  6163.21  9077.09 4.50 3.50 -81.9 -0.381 18.18 19.20 01a58531o0461o
58531.431385  13.288  0.004 17575   74 o  0   4.97 123.84708 -38.98981  6150.43  9193.51 4.57 3.61 -81.0 -0.375 18.16 19.16 01a58531o0482o
58539.389851  13.278  0.002 17741   42 o  0 112.96 123.84708 -38.98981  7804.78  1351.99 3.19 3.04 -14.6 -0.418 19.25 21.26 01a58539o0370o
58539.397691  13.278  0.002 17738   43 o  0  90.08 123.84708 -38.98981  7819.68  1391.55 3.13 2.97  89.3 -0.432 19.25 21.23 01a58539o0387o
58539.406001  13.287  0.002 17592   43 o  0  98.66 123.84708 -38.98981  7758.31  1313.43 3.19 2.95  88.0 -0.437 19.17 21.10 01a58539o0405o
58539.414769  13.288  0.002 17579   44 o  0  74.89 123.84708 -38.98981  7744.37  1430.42 3.27 3.01 -89.7 -0.436 19.06 20.78 01a58539o0424o
58543.372725  13.290  0.002 17542   42 o  0  72.21 123.84708 -38.98981  4849.52  5258.33 3.16 3.09  35.9 -0.422 19.10 20.92 01a58543o0330o
58543.380569  13.287  0.002 17592   43 o  0  90.22 123.84708 -38.98981  4880.18  5295.86 3.21 3.10   6.2 -0.429 19.07 20.88 01a58543o0347o
58543.388431  13.293  0.002 17487   43 o  0  81.21 123.84708 -38.98981  4819.17  5218.97 3.15 3.02  73.5 -0.431 19.10 20.92 01a58543o0364o
58543.396751  13.305  0.002 17295   43 o  0 113.98 123.84708 -38.98981  4806.01  5333.99 3.04 2.99  62.6 -0.433 19.14 20.93 01a58543o0382o
58547.359139  13.298  0.003 17409   46 o  0  75.13 123.84708 -38.98981  8057.79  7169.11 3.24 2.98 -87.0 -0.429 19.04 20.98 01a58547o0319o
58547.367451  13.308  0.005 17255   80 o  0  13.07 123.84708 -38.98981  8074.06  7207.27 3.19 2.94  86.9 -0.431 18.23 20.05 01a58547o0337o
58547.375749  13.277  0.036 17749  639 o  0   1.26 123.84708 -38.98981  8012.61  7128.29 2.90 2.76 -85.9 -0.458 14.91 16.78 01a58547o0355o
58547.384087  13.315  0.010 17138  168 o  0   3.38 123.84708 -38.98981  7999.94  7243.85 3.00 2.83  89.0 -0.445 16.90 18.62 01a58547o0373o
58551.356957  13.311  0.002 17201   43 o  0 212.19 123.84708 -38.98981  8087.64  9115.46 2.75 2.73  -0.4 -0.467 19.11 20.57 01a58551o0313o
58551.365768  13.316  0.003 17130   44 o  0  82.39 123.84708 -38.98981  8102.70  9154.11 3.25 3.04 -75.5 -0.425 18.98 20.48 01a58551o0332o
58551.375004  13.313  0.003 17175   45 o  0  59.63 123.84708 -38.98981  8041.26  9074.65 3.31 3.00 -83.3 -0.423 18.97 20.47 01a58551o0352o
58551.383797  13.308  0.003 17250   44 o  0  60.00 123.84708 -38.98981  8027.74  9191.39 3.12 2.91 -82.8 -0.435 19.00 20.46 01a58551o0371o
58555.362714  13.020  0.009 22496  200 o  0  27.10 123.84708 -38.98981  1538.59  3420.16 2.95 2.90  14.9 -0.452 16.71 17.95 01a58555o0322o
58555.371016  13.290  0.003 17536   54 o  0  43.99 123.84708 -38.98981  1553.70  3458.10 2.92 2.79  -9.5 -0.457 18.67 20.13 01a58555o0340o
58555.380294  13.307  0.003 17264   52 o  0  45.02 123.84708 -38.98981  1491.17  3381.94 2.87 2.74 -11.8 -0.459 18.66 20.12 01a58555o0360o
58555.389543  13.303  0.003 17332   44 o  0  98.05 123.84708 -38.98981  1478.67  3497.86 3.15 3.01 -13.9 -0.444 19.00 20.52 01a58555o0380o
58559.338914  13.305  0.003 17304   55 o  0  17.14 123.84708 -38.98981  2315.52  7267.32 2.98 2.83 -11.6 -0.456 18.51 19.55 01a58559o0222o
58559.346786  13.307  0.003 17262   56 o  0  12.68 123.84708 -38.98981  2332.93  7304.24 3.08 2.91 -26.9 -0.450 18.47 19.54 01a58559o0239o
58559.354630  13.292  0.004 17508   64 o  0   7.27 123.84708 -38.98981  2286.45  7227.60 3.68 3.58 -44.6 -0.413 18.24 19.51 01a58559o0256o
58559.362483  13.298  0.003 17405   58 o  0  11.14 123.84708 -38.98981  2257.46  7344.51 3.25 3.19 -72.3 -0.434 18.38 19.51 01a58559o0273o
58565.368984  13.278  0.003 17731   50 o  0 146.56 123.84708 -38.98981  6368.51  3372.94 2.31 2.02  53.4 -0.429 18.70 19.20 02a58565o0337o
58565.376158  13.269  0.003 17882   50 o  0 163.25 123.84708 -38.98981  6355.07  3333.89 2.28 2.02  61.5 -0.428 18.67 19.16 02a58565o0352o
58565.383336  13.288  0.003 17574   52 o  0  92.01 123.84708 -38.98981  6400.53  3410.79 2.27 2.04  64.9 -0.426 18.61 19.11 02a58565o0367o
58565.390664  13.284  0.003 17638   52 o  0  90.06 123.84708 -38.98981  6432.09  3294.06 2.19 2.05  74.1 -0.434 18.62 19.05 02a58565o0383o
58567.315465  13.318  0.004 17089   62 o  0  44.34 123.84708 -38.98981  6137.37  7176.39 2.96 2.73  -1.5 -0.430 18.49 20.14 01a58567o0217o
