MJD           m       dm    uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57411.451244  13.252  0.005 18170   85 o  0   8.59 123.84708 -38.98981  4543.62  3344.93 3.97 3.58 -17.3 -0.461 17.91 18.44 02a57411o0410o
57411.459618  13.231  0.005 18513   91 o  0   8.08 123.84708 -38.98981  4822.90  1601.85 4.28 3.42  -7.6 -0.543 17.95 18.46 02a57411o0423o
57412.413581  13.259  0.006 18054  116 o  0   3.46 123.84708 -38.98981  6718.06  7953.44 4.10 3.61  84.0 -0.477 17.98 18.86 02a57412o0305o
57412.438668  13.239  0.005 18390   90 o  0   2.94 123.84708 -38.98981  3690.42  2166.14 5.21 4.26 -16.7 -0.460 17.97 18.80 02a57412o0342o
57412.450168  13.259  0.004 18044   79 o  0   6.48 123.84708 -38.98981  4547.21  3342.47 4.45 4.10 -18.8 -0.412 17.98 18.79 02a57412o0359o
57412.458469  13.239  0.005 18378   88 o  0   5.80 123.84708 -38.98981  4827.38  1599.23 4.73 3.81  -8.0 -0.505 18.05 18.80 02a57412o0372o
57416.399794  13.237  0.003 18416   59 o  0  30.93 123.84708 -38.98981  6450.57  7738.48 3.66 3.27  85.7 -0.473 18.64 19.90 02a57416o0330o
57416.413603  13.247  0.003 18248   64 o  0  17.04 123.84708 -38.98981  6728.71  8327.51 3.59 3.40  69.5 -0.469 18.65 20.01 02a57416o0349o
57416.428316  13.228  0.003 18577   65 o  0  22.83 123.84708 -38.98981  5095.32  1813.20 4.34 3.53  -2.9 -0.512 18.63 19.84 02a57416o0370o
57416.442550  13.222  0.003 18666   63 o  0  19.97 123.84708 -38.98981  4829.34  1598.52 4.48 3.64  -6.8 -0.496 18.60 19.84 02a57416o0390o
57417.397584  13.244  0.003 18291   59 o  0  30.68 123.84708 -38.98981  6856.60  8169.36 3.65 3.31  82.5 -0.462 18.74 20.07 02a57417o0321o
57417.412951  13.256  0.003 18096   62 o  0  24.36 123.84708 -38.98981  7133.37  8761.62 3.62 3.47  40.7 -0.461 18.72 20.14 02a57417o0342o
57417.428641  13.257  0.004 18073   66 o  0  23.33 123.84708 -38.98981  5978.98  9334.33 3.82 3.20  18.5 -0.459 18.62 20.20 02a57417o0363o
57417.444391  13.238  0.003 18399   60 o  0  29.34 123.84708 -38.98981  4829.63  1597.82 4.35 3.54  -7.8 -0.494 18.70 19.98 02a57417o0383o
57423.419015  13.522  0.003 14168   48 c  0  27.01 123.84708 -38.98981  4582.96  1428.60 4.30 3.72 -14.0 -0.445 19.35 21.25 02a57423o0284c
57430.372211  13.549  0.005 13812   71 c  0   8.57 123.84708 -38.98981  3646.62  2406.10 4.48 4.32 -53.0 -0.388 18.63 20.65 02a57430o0299c
57430.403453  13.529  0.003 14069   49 c  0  13.83 123.84708 -38.98981  4572.95  1262.85 4.74 4.01  -8.5 -0.453 19.28 21.19 02a57430o0336c
57438.376746  13.269  0.004 17874   71 o  0  12.09 123.84708 -38.98981  3989.16  2754.52 4.14 3.71 -12.5 -0.448 18.10 18.90 02a57438o0277o
57438.392196  13.277  0.004 17754   73 o  0   7.56 123.84708 -38.98981  3723.63  2170.00 4.28 3.70 -18.2 -0.461 18.11 18.90 02a57438o0307o
57438.408809  13.254  0.004 18132   79 o  0   8.34 123.84708 -38.98981  4857.85  1602.34 4.18 3.58 -11.2 -0.503 18.10 18.87 02a57438o0338o
57439.361602  13.254  0.005 18132   92 o  0   4.57 123.84708 -38.98981  4050.29  2520.98 4.98 3.81 -11.5 -0.477 17.90 18.63 02a57439o0286o
57439.377775  13.258  0.005 18070   89 o  0   7.03 123.84708 -38.98981  3769.05  1937.39 4.66 3.69 -14.3 -0.515 17.95 18.61 02a57439o0316o
57439.395021  13.238  0.005 18397   91 o  0   9.10 123.84708 -38.98981  4905.03  1369.04 4.62 3.52  -4.5 -0.551 17.97 18.57 02a57439o0347o
57439.412478  13.232  0.005 18508   95 o  0   6.55 123.84708 -38.98981  4803.38  1578.47 4.53 3.48  -7.4 -0.540 17.95 18.52 02a57439o0377o
57446.362413  13.245  0.003 18288   60 o  0  62.94 123.84708 -38.98981  3924.37  2828.68 4.07 3.36 -14.5 -0.495 18.87 20.37 02a57446o0223o
57446.379619  13.234  0.003 18476   64 o  0  40.06 123.84708 -38.98981  3642.90  2241.74 4.25 3.36 -14.0 -0.521 18.73 20.08 02a57446o0257o
57446.396777  13.219  0.003 18717   65 o  0  41.15 123.84708 -38.98981  4794.61  1673.70 4.36 3.33  -7.3 -0.534 18.67 19.96 02a57446o0291o
57446.413925  13.226  0.004 18608   67 o  0  27.41 123.84708 -38.98981  4798.20  1579.44 4.46 3.54  -6.9 -0.537 18.59 19.85 02a57446o0325o
57447.358692  13.252  0.003 18166   57 o  0  55.23 123.84708 -38.98981  4093.39  2964.64 4.29 3.65 -14.5 -0.486 18.92 20.54 02a57447o0316o
57447.375781  13.224  0.003 18642   60 o  0  40.32 123.84708 -38.98981  3811.67  2377.96 4.44 3.58 -13.7 -0.500 18.90 20.46 02a57447o0350o
57447.392825  13.224  0.003 18645   59 o  0  43.17 123.84708 -38.98981  4962.27  1808.92 4.60 3.63  -9.0 -0.515 18.86 20.41 02a57447o0384o
57447.409868  13.237  0.004 18414   65 o  0  19.15 123.84708 -38.98981  4802.25  1574.88 4.75 3.70 -10.0 -0.514 18.67 20.06 02a57447o0418o
57453.348262  13.525  0.003 14123   48 c  0  39.79 123.84708 -38.98981  3956.02  2783.24 4.31 3.81 -17.2 -0.454 19.35 21.26 02a57453o0264c
57453.364922  13.524  0.003 14144   48 c  0  19.75 123.84708 -38.98981  3673.74  2196.25 4.64 3.94 -17.8 -0.446 19.31 21.24 02a57453o0298c
57453.381591  13.524  0.003 14132   48 c  0  10.01 123.84708 -38.98981  4810.65  1627.55 5.07 4.32  -8.4 -0.414 19.30 21.25 02a57453o0332c
57453.398241  13.530  0.003 14057   48 c  0  12.55 123.84708 -38.98981  4799.65  1571.82 5.13 4.26  -7.9 -0.416 19.18 21.17 02a57453o0366c
57457.343241  13.528  0.004 14084   54 c  0  38.22 123.84708 -38.98981  4003.32  2704.37 4.44 3.87 -56.5 -0.458 19.15 21.19 02a57457o0263c
57457.360464  13.510  0.004 14321   54 c  0  37.70 123.84708 -38.98981  3739.18  2118.50 4.66 3.87 -39.5 -0.447 19.22 21.23 02a57457o0298c
57457.377678  13.508  0.004 14346   54 c  0  35.04 123.84708 -38.98981  4876.02  1549.34 4.70 3.91 -27.3 -0.467 19.23 21.23 02a57457o0333c
57457.395383  13.517  0.004 14225   55 c  0  31.52 123.84708 -38.98981  4803.19  1568.39 4.83 3.82 -27.8 -0.452 19.16 21.14 02a57457o0369c
57461.325248  13.543  0.005 13888   65 c  0   8.59 123.84708 -38.98981  3955.80  2821.23 4.50 4.04 -20.7 -0.446 18.64 20.32 02a57461o0235c
57461.341813  13.518  0.004 14215   51 c  0  22.98 123.84708 -38.98981  3674.03  2233.62 4.69 3.85 -15.8 -0.468 18.99 20.60 02a57461o0269c
57461.358385  13.518  0.004 14219   54 c  0  25.35 123.84708 -38.98981  4809.76  1665.67 4.50 3.68  -8.8 -0.505 19.05 20.63 02a57461o0303c
57461.374936  13.521  0.004 14176   51 c  0  28.92 123.84708 -38.98981  4798.17  1572.52 4.72 3.72  -5.3 -0.491 19.05 20.66 02a57461o0337c
57465.315973  13.227  0.004 18581   79 o  0  15.43 123.84708 -38.98981  4116.70  2572.31 4.45 3.62 -12.7 -0.508 18.27 19.27 02a57465o0221o
57465.332535  13.218  0.004 18746   77 o  0  13.86 123.84708 -38.98981  3834.34  1985.70 4.74 3.66 -12.8 -0.527 18.26 19.29 02a57465o0255o
57465.349095  13.202  0.004 19025   80 o  0  16.70 123.84708 -38.98981  4971.59  1415.34 4.74 3.43  -5.7 -0.542 18.28 19.28 02a57465o0289o
57465.365645  13.221  0.004 18691   78 o  0  14.66 123.84708 -38.98981  4793.85  1572.10 4.72 3.52  -6.5 -0.535 18.24 19.23 02a57465o0323o
57469.277536  13.204  0.005 18989   99 o  0  15.81 123.84708 -38.98981  4144.43  2606.43 4.54 2.96  -1.0 -0.556 17.94 18.58 02a57469o0150o
57469.292019  13.202  0.005 19021   99 o  0  12.21 123.84708 -38.98981  3878.16  2021.76 4.96 3.13  -3.4 -0.549 17.92 18.60 02a57469o0180o
57469.306003  13.200  0.006 19046  114 o  0  10.17 123.84708 -38.98981  5015.17  1434.18 4.76 3.00  -2.3 -0.568 17.99 18.66 02a57469o0209o
57469.320470  13.205  0.005 18965   98 o  0  11.80 123.84708 -38.98981  4778.01  1569.09 4.75 3.14  -3.7 -0.582 17.98 18.66 02a57469o0239o
57477.291929  13.219  0.003 18730   64 o  0  36.06 123.84708 -38.98981  4097.52  2545.37 4.38 3.61 -13.6 -0.519 18.77 20.26 02a57477o0173o
57477.307446  13.221  0.003 18683   64 o  0  45.01 123.84708 -38.98981  3817.56  1956.80 4.49 3.45 -11.4 -0.522 18.80 20.31 02a57477o0205o
57477.323438  13.201  0.004 19042   68 o  0  31.84 123.84708 -38.98981  4969.12  1386.62 4.64 3.49  -5.9 -0.532 18.79 20.29 02a57477o0238o
57477.339927  13.212  0.003 18837   64 o  0  38.70 123.84708 -38.98981  4791.88  1563.00 4.63 3.48  -6.0 -0.542 18.79 20.30 02a57477o0272o
