#Data from LCO Program DDT2021B-003
#PI S. Ertel
#Time in MJD
#Source brightness and uncertaintiy in Magnitudes
#Filters SDSS gp,rp,ip and PANSTARRS Z
Time,Mag,MagErr,Filter
59468.7791862,17.361575042103908,0.007089051079862685,gp
59468.7795455,16.286948518989842,0.004561433522209057,rp
59468.7799281,15.727330845672126,0.00460375215344655,ip
59468.7804148,16.013340327533868,0.0052655369220175885,zs
59473.381286,14.784764588115033,0.0049460314286138675,gp
59473.3816338,13.875407684913133,0.0031009869018923785,rp
59473.3820167,13.550762975909581,0.0025424543836184343,ip
59473.3825035,13.524344082906236,0.0024826856011539223,zs
59475.1386798,16.837609530415985,0.03132321949303555,gp
59475.1476053,16.916212894980802,0.0495317346390109,gp
59475.1483355,14.320384455124156,0.010806702525110004,ip
59475.1488224,14.068386388159647,0.009972795720116986,zs
59476.1142015,20.748092722158916,0.283693945325183,gp
59476.1145956,16.271376803739535,0.03573679821445195,rp
59476.1149781,15.375242302024336,0.01619342081716356,ip
59476.115465,14.814774917448368,0.011024676442296944,zs
59479.1113029,14.643456101645603,0.009172298819570034,gp
59479.1116623,13.769301667493279,0.00448991529753693,rp
59479.1120448,13.449701212225962,0.0033121890047799513,ip
59479.1125316,13.37461043562272,0.0030573787431242934,zs
59479.7579759,14.770141260339743,0.00907900017013852,gp
59479.758347,13.841449507894918,0.004447231504488972,rp
59479.7587412,13.472503415157771,0.004693907019230371,ip
59479.759228,13.356753455417627,0.004427623756374262,zs
59480.7465648,14.765948210065817,0.005495057845434712,gp
59480.7469245,13.859738936548284,0.003311875673640543,rp
59480.7473074,13.549075161430538,0.0029120447645202426,ip
59480.7477948,13.423032567494088,0.0028619930244476667,zs
59482.0976952,14.659333669553025,0.00779526683281372,gp
59482.0980545,13.800036830560458,0.004484240481954444,rp
59482.0984371,13.462753995282027,0.004028715081349034,ip
59482.0989355,13.359242127791346,0.004009717237108486,zs
59483.376395,14.907643620546498,0.006014899536104575,gp
59484.396115,15.265047351096047,0.00957101524356121,gp
59485.366259,15.390724095893589,0.036168549718689026,gp
59486.3664697,16.511416031639236,0.013726967849282267,gp
59487.3857623,16.30958088149122,0.017899669406097694,gp
59487.3861216,14.785686246858631,0.006092869290195247,rp
59487.3864926,14.07774374442102,0.004247090943279932,ip
59491.7014001,15.110788369330734,0.005467823819637633,gp
59491.7017594,14.01577698372778,0.003444746015219336,rp
59491.7021419,13.631486733732517,0.002832443574217477,ip
59493.0539886,15.147763486433128,0.009885976747132421,gp
59493.0543364,14.05542307427874,0.005464894737152425,rp
59493.0547189,13.623593788480099,0.003799587743681952,ip
59495.0485603,15.686590821822028,0.010727574068521767,gp
59495.048912,14.363288974056417,0.0049835259396445244,rp
59495.0492945,13.82833852331651,0.003623429527528067,ip
59497.0430353,15.738577772273754,0.011939427237840238,gp
59497.0433947,14.39652368376408,0.005322422114460035,rp
59497.0437771,13.859431232338524,0.003844168410109646,ip
59499.0376568,15.725321821937479,0.009825980574765173,gp
59499.0380161,14.358195534041318,0.004892788193850987,rp
59499.0383987,13.84888076764426,0.003630781738337519,ip
59503.2908002,15.46386577158847,0.008387546711599242,gp
59503.2913798,14.220098826976555,0.0038194856029696274,rp
59503.2919825,13.778197635562895,0.002914515128059886,ip
59505.3263162,14.823659914102727,0.004901471038988323,gp
59505.3268958,13.882601455832384,0.003014336639829871,rp
59505.3274873,13.562916500934094,0.0025066177854647237,ip
59507.02961,20.729030410462087,0.19321660791987227,gp
59507.0301895,15.82095852196684,0.025856574125823335,rp
59507.030774,14.90923598423309,0.01133735207653583,ip
59508.6774528,15.292032846781158,0.012380770866413886,gp
59508.6780208,14.194805305204014,0.008243099354758122,rp
59508.6786236,13.722817395846342,0.005015032339946201,ip
59510.6773407,15.538771467920194,0.011079906019259464,gp
59510.6779439,14.315118820890957,0.0045419112011286554,rp
59510.678535,13.815880567860095,0.0035645509257231874,ip
59513.6566365,14.738352542476592,0.005065816070038999,gp
59513.657205,13.825708521990569,0.0030385099752772786,rp
59513.6577967,13.538159855564404,0.0025641640894066807,ip
59515.3014274,14.577774858853315,0.0039006065714561797,gp
59515.3019955,13.724548237431705,0.002851145901620573,rp
59515.3025879,13.445660594347139,0.002335979129059212,ip
59516.3157651,14.86908103387865,0.01620432873583372,gp
59516.3161244,13.859648692902832,0.009452441494666947,rp
59516.3165069,13.516392818751957,0.007233566245103141,ip
59518.0046454,14.532237168674508,0.004809372048294482,gp
59518.0049931,13.750654083543077,0.0035285311389255574,rp
59518.0053759,13.486136753751786,0.0032287240088089333,ip
59520.3228286,14.699043066619923,0.003849776480263151,gp
59520.3232344,13.785767988830537,0.0029738136852911707,rp
59520.3236053,13.498514324352298,0.0024639376590989423,ip
59521.9746544,15.437154962079855,0.008006667373291847,gp
59521.9750136,14.214044453262751,0.004276427289223791,rp
59521.9753846,13.789782484180297,0.0033460990611584684,ip
59524.2480223,14.808822915979556,0.004350200720316238,gp
59524.2483816,13.869925598731465,0.0030369341722743942,rp
59524.2487526,13.494887226552898,0.0027768464061021392,ip
59528.0491112,15.016897846844206,0.006320873449935364,gp
59528.0494589,13.991764255619652,0.0038176596992545203,rp
59528.0498298,13.645532174029736,0.0030423804210107748,ip
59529.3605929,15.352220230097084,0.006498795137515217,gp
59529.3609523,14.111840934051784,0.0035194671472241466,rp
59529.3613349,13.683739241421188,0.0028068369482377575,ip
59534.5839429,14.938328543230202,0.007568090742616532,gp
59534.5843023,13.976933068068247,0.003898189836099612,rp
59534.5846963,13.634994008065137,0.0032875773087224953,ip
59534.5851948,13.471014565786811,0.00313148275689252,zs
59534.6621475,14.946951593329105,0.006211699324911165,gp
59534.6625189,13.979923693778504,0.0034381100381615233,rp
59534.6628902,13.591481745250821,0.0030723292704083224,ip
59534.6633891,13.476660345987687,0.0027945575145569947,zs
59534.7295149,14.953489338743665,0.004553043041055991,gp
59534.7298862,13.99553986475893,0.0030774905331947267,rp
59534.7302691,13.66272789219763,0.0027241354288410386,ip
59534.730768,13.463965263248593,0.0025939263479312705,zs
59534.9413972,14.920342459109245,0.009492296095802051,gp
59534.9417566,13.95656410328262,0.004658522346854231,rp
59534.9421275,13.613804868852078,0.003706745124218101,ip
59534.979538,14.877351140467889,0.008111733962974217,gp
59534.9798857,13.92647819844472,0.004288030443500186,rp
59534.9802683,13.608199321087165,0.0033256063986114364,ip
59534.9807551,13.449331684241773,0.0030934685688822823,zs
59535.0627538,14.820542279094102,0.00907188680641571,gp
59535.0630204,14.823515119608436,0.006153405165162086,gp
59535.0633798,13.896625155511753,0.0036841884692483742,rp
59535.0637624,13.590408973602822,0.0030388552912534485,ip
59535.0642493,13.448677668611694,0.0028591293138071116,zs
59535.2295912,14.73793559677111,0.005631009921846839,gp
59535.2299506,13.829185359589244,0.003487941723832447,rp
59535.2303331,13.508393413315417,0.002769267274000267,ip
59535.2308315,13.435178695764776,0.0025812207065264983,zs
59535.3128931,14.739820331292073,0.004738387153332299,gp
59535.3132525,13.830132065723783,0.00313425794912014,rp
59535.3136234,13.522547521690722,0.0025081706137377313,ip
59535.3141218,13.418274386866663,0.00228050805241555,zs
59535.6733107,14.79954008725701,0.00700306622653634,gp
59535.67367,13.874889919630991,0.0038056071826151516,rp
59535.6740525,13.537719481914515,0.003378621872360905,ip
59535.674551,13.429851106595038,0.003634930147623481,zs
59536.2614413,14.78757776339116,0.0057700656101361495,gp
59536.261789,13.849437192299135,0.003489916585352952,rp
59536.2621716,13.531248472488496,0.0027712588340655115,ip
59536.26267,13.440682065969838,0.002668876321037136,zs
59536.3249086,14.81137864555118,0.005558981188052588,gp
59536.3253028,13.876390979117584,0.0033181092945053126,rp
59536.3256968,13.543782301583484,0.0026219541148697185,ip
59536.3261837,13.464635163709769,0.002496774962181129,zs
59536.9337952,15.047134435268859,0.0150035706569173,gp
59536.934143,14.018179752961506,0.005598654842232935,rp
59536.9345255,13.643920321176145,0.003985665518343174,ip
59536.9350123,13.48741379076158,0.003750312358442046,zs
59536.9413532,15.04544452507581,0.013922537392139537,gp
59536.9417009,14.014759010788616,0.005614903544263809,rp
59536.9420842,13.671876852889335,0.003904063645588913,ip
59536.9822281,15.090125396714242,0.011920638533231711,gp
59536.9825879,14.052672416778082,0.005183224311237147,rp
59536.9829598,13.660313247792685,0.0037673540184034195,ip
59536.9834587,13.485315908245868,0.003506665370898767,zs
59537.0726006,15.165132938703472,0.012547467546092199,gp
59537.0729484,14.05311271123809,0.005338163264132624,rp
59537.0733309,13.68287545154,0.003711069413412794,ip
59537.0738641,13.536988773987375,0.00333192008735067,zs
59537.2295464,15.124743093417017,0.008870309401652758,gp
59537.2298826,14.037381092429877,0.004342613927885159,rp
59537.2302652,13.6517150771297,0.0031724876481535056,ip
59537.2307521,13.506510592550953,0.0028558204470447526,zs
59537.3188209,15.069211079637219,0.005187560049093484,gp
59537.3191802,14.010868451589676,0.0032547094165139893,rp
59537.3195628,13.654770615375963,0.0025511983663260504,ip
59537.3200612,13.47333710080264,0.0023238403920873554,zs
59537.9311498,15.547315329973848,0.024190633448965316,gp
59537.9314976,14.286924796392256,0.00767273840170992,rp
59537.9318685,13.81359255727178,0.004861522769822546,ip
59537.932367,13.65539496299247,0.004052921672138055,zs
59537.9949822,15.747392795272141,0.026633590249889087,gp
59537.99533,14.4006073076842,0.007491601406574932,rp
59537.9957009,13.901187266601571,0.004541008119930027,ip
59537.9961992,13.708159511006123,0.003871965109794087,zs
59538.0629698,15.950855167501143,0.024909387507871663,gp
59538.0633291,14.53855244231723,0.007406941930606689,rp
59538.0637117,13.9718000064272,0.004405460903377444,ip
59538.0641985,13.75218292802127,0.003737453095895026,zs
59538.2299119,16.34348920452392,0.023213976460459227,gp
59538.2302712,14.741737018853842,0.007161332089857078,rp
59538.2306422,14.115473891100212,0.00417856864992017,ip
59538.2311406,13.817397431882942,0.0035590754966454328,zs
59538.3128641,16.376177774349753,0.01963355803292917,gp
59538.3132234,14.779644540467235,0.006432534419093044,rp
59538.313606,14.142331924415746,0.003875361009941136,ip
59538.3141044,13.839045799193975,0.0033735838415514907,zs
59538.9309607,15.741365030105637,0.03529233961814933,gp
59538.9313316,14.4172259589816,0.010650243191818582,rp
59538.9317025,13.908953822111936,0.005880094370038995,ip
59538.9321894,13.609897248532963,0.006113834529509066,zs
59538.9415505,15.71690678279581,0.031750825281716175,gp
59538.9419214,14.42301188617202,0.009519841994883562,rp
59538.9422923,13.891236681185124,0.007404627805664096,ip
59538.9796181,15.805320513905382,0.03030151482164747,gp
59538.9799661,14.441444247623517,0.012151212174466356,rp
59538.9803506,13.921635532910084,0.005849555585380209,ip
59538.9808375,13.666605622377595,0.005730784745604658,zs
59539.1821712,16.14635483846349,0.02148907510497,gp
59539.1825422,14.78251195626582,0.007996345407253249,rp
59539.1829247,14.22821618515406,0.004976327995923702,ip
59539.1834116,13.983608364522485,0.004788496914737913,zs
59539.2295714,16.27370462352144,0.01940385338915276,gp
59539.2299192,14.861708180371421,0.0075131883830808635,rp
59539.2303017,14.28720027148125,0.004645153310016256,ip
